id,start,read_length
575,43454,247
576,49729,253
577,17477,269
578,37744,234
579,18454,211
580,12723,244
581,39199,241
582,7904,311
583,4525,294
584,499,244
585,40228,191
586,21698,231
587,48128,292
588,16882,271
589,19097,251
590,4880,280
591,24592,261
592,11960,204
593,44432,210
594,27442,245
595,19122,278
596,16417,209
597,34682,204
598,29420,245
599,4937,268
600,48611,280
601,3621,241
602,42819,265
603,4123,270
604,27460,292
605,14299,227
606,40033,276
607,1176,258
608,44378,218
609,31311,275
610,41211,229
611,30483,238
612,45334,259
613,46965,248
614,41902,284
615,37112,187
616,6897,242
617,38745,274
618,20947,227
619,19550,265
620,47659,229
621,39795,232
622,44398,251
623,36401,242
624,9404,246
625,13975,247
626,18347,204
627,42276,240
628,18636,260
629,32560,270
630,42781,259
631,71,241
632,46256,207
633,7369,285
634,4248,262
635,39789,197
636,37327,278
637,31115,218
638,41135,312
639,27695,271
640,17270,230
641,29688,234
642,28869,255
643,24160,257
644,43769,306
645,47372,254
646,33604,257
647,13405,227
648,6503,231
649,16292,237
650,28761,258
651,18531,285
652,43150,172
653,1776,247
654,12214,262
655,5680,254
656,49610,233
657,31229,292
658,33121,239
659,21444,288
660,45941,248
661,7492,268
662,19758,195
663,30647,259
664,3514,232
665,48976,255
666,32349,225
667,9372,234
668,9089,276
669,35640,294
670,4984,302
671,47714,192
672,24680,246
673,8356,223
674,42398,237
675,19151,312
676,389,265
677,9866,214
678,19065,298
679,8891,238
680,45489,222
681,12299,201
682,8971,223
683,39911,261
684,6918,224
685,45444,280
686,17299,276
687,29112,230
688,44002,208
689,39002,233
690,36635,259
691,25250,201
692,24882,212
693,21512,237
694,2640,224
695,23144,276
696,22860,252
697,17253,310
698,34556,217
699,45148,271
700,48040,257
701,33469,278
702,24364,208
703,20579,242
704,10059,272
705,45572,243
706,19871,215
707,24524,251
708,34484,261
709,49055,280
710,37908,239
711,16601,229
712,27063,308
713,21346,188
714,5066,199
715,15287,209
716,19455,217
717,31797,233
718,6269,257
719,9490,230
720,17482,283
721,12875,251
722,11285,214
723,8507,258
724,9262,242
725,41980,258
726,23471,295
727,21307,221
728,32292,218
729,26812,254
730,7121,320
731,5327,265
732,14235,216
733,14408,285
734,868,203
735,46969,266
736,42867,206
737,48535,258
738,8571,169
739,41013,242
740,37270,179
741,13353,227
742,788,253
743,8434,287
744,4744,244
745,24586,253
746,49595,297
747,28868,291
748,31317,219
749,38309,177
750,25032,218
751,24826,240
752,16508,255
753,7512,221
754,20682,274
755,644,265
756,16204,221
757,6292,242
758,22887,243
759,46425,257
760,49287,238
761,3022,151
762,8576,265
763,13238,232
764,32679,255
765,29796,285
766,46230,220
767,11759,239
768,38713,253
769,32,207
770,31355,240
771,15239,293
772,13391,271
773,32013,218
774,44486,274
775,12448,207
776,39445,278
777,40627,246
778,45312,278
779,23142,226
780,27228,281
781,32576,225
782,46344,257
783,4262,242
784,19389,259
785,26588,240
786,25843,274
787,35116,230
788,17812,243
789,33038,238
790,16687,221
791,17265,252
792,24843,247
793,11376,303
794,438,234
795,42846,234
796,44031,274
797,45017,220
798,41268,297
799,29222,293
800,34622,302
801,40396,274
802,7064,237
803,2523,267
804,9625,246
805,6237,237
806,39723,197
807,22861,282
808,31034,275
809,49760,227
810,41147,254
811,8120,281
812,4061,280
813,10195,218
814,45927,245
815,34529,291
816,14627,228
817,4638,307
818,5165,291
819,30688,254
820,4162,257
821,48253,201
822,19316,262
823,13738,232
824,26989,216
825,15997,238
826,41951,224
827,26314,271
828,3672,218
829,18312,272
830,29270,280
831,46160,265
832,9671,241
833,46642,267
834,24690,229
835,12983,248
836,6528,293
837,27042,259
838,27303,257
839,5438,240
840,44388,241
841,16439,236
842,29396,206
843,28049,224
844,34648,296
845,22215,312
846,33881,215
847,6962,235
848,2638,236
849,2082,266
850,44717,217
851,4395,255
852,17122,187
853,34609,206
854,1422,223
855,14421,233
856,28714,244
857,11434,238
858,11149,222
859,31864,257
860,25399,254
861,42535,235
862,8180,183
863,23174,195
864,35703,194
865,8660,274
866,18265,258
867,43512,285
868,28046,257
869,11533,276
870,39909,233
871,19916,246
872,22364,236
873,25967,241
874,42923,294
875,18335,202
876,3932,251
877,23521,267
878,2283,263
879,2046,273
880,12440,266
881,35335,202
882,16382,245
883,21048,238
884,2644,271
885,40591,178
886,12841,243
887,47070,213
888,10762,224
889,11624,251
890,43701,230
891,21881,272
892,33419,295
893,48901,240
894,4206,230
895,8868,209
896,7042,266
897,36251,246
898,43513,292
899,10467,255
900,29157,273
901,7639,250
902,9590,250
903,28620,316
904,15024,287
905,13686,280
906,8212,227
907,30375,233
908,4270,215
909,23818,221
910,16000,192
911,12537,322
912,1464,267
913,37756,253
914,17304,316
915,31089,272
916,23054,241
917,26683,196
918,18620,235
919,10949,225
920,33750,233
921,39164,244
922,25069,197
923,9233,244
924,5915,230
925,21757,215
926,3974,263
927,23,219
928,13520,240
929,39757,244
930,12891,186
931,680,214
932,13065,222
933,5031,302
934,37407,231
935,36555,319
936,1067,279
937,25837,263
938,34509,203
939,30820,176
940,26347,234
941,15466,262
942,47173,244
943,34422,281
944,29057,221
945,27563,241
946,23664,259
947,29335,331
948,8705,293
949,10031,247
950,38230,277
951,38819,227
952,33213,305
953,14593,250
954,31554,273
955,12822,243
956,39849,283
957,20279,278
958,21101,209
959,12570,225
960,20325,277
961,19476,212
962,11204,278
963,19697,263
964,1359,250
965,4027,238
966,44866,210
967,14361,280
968,47579,226
969,13925,256
970,14950,215
971,9463,255
972,2989,285
973,34565,246
974,23721,248
975,22173,247
976,5432,287
977,25587,240
978,30280,348
979,2536,244
980,49395,244
981,41213,244
982,31260,250
983,19151,250
984,19028,260
985,12316,237
986,31061,285
987,29973,254
988,46982,210
989,13075,211
990,20533,270
991,39054,274
992,10410,204
993,13836,223
994,48256,179
995,5077,213
996,5952,253
997,35390,239
998,23360,226
999,37648,248
1000,10254,256
1001,46945,230
1002,18146,255
1003,2177,262
1004,10656,205
1005,33156,248
1006,28954,237
1007,3856,228
1008,38741,279
1009,33037,269
1010,2141,258
1011,47921,266
1012,35228,191
1013,47666,214
1014,16382,239
1015,19064,243
1016,20835,214
1017,47034,265
1018,32384,245
1019,30476,292
1020,49714,263
1021,33174,232
1022,10333,236
1023,33067,298
1024,9272,219
1025,22937,213
1026,25625,304
1027,27812,211
1028,926,254
1029,37637,192
1030,39633,217
1031,33515,245
1032,42096,286
1033,47507,253
1034,38357,288
1035,2008,265
1036,25311,244
1037,4444,253
1038,35816,254
1039,14201,271
1040,27563,183
1041,27926,266
1042,46846,257
1043,42158,252
1044,25171,271
1045,27356,236
1046,20202,269
1047,10187,235
1048,45635,223
1049,30376,271
1050,9743,241
1051,13874,303
1052,36475,307
1053,13005,244
1054,7106,203
1055,32943,269
1056,48091,277
1057,35541,318
1058,17339,213
1059,24173,272
1060,25823,261
1061,39195,229
1062,45833,217
1063,42832,293
1064,43732,288
1065,8634,266
1066,43140,246
1067,5482,242
1068,34505,223
1069,21778,268
1070,42173,181
1071,38412,261
1072,33095,222
1073,2757,245
1074,3697,268
1075,16422,291
1076,29311,236
1077,12641,249
1078,19836,215
1079,26277,233
1080,18478,245
1081,15082,243
1082,5511,239
1083,2165,276
1084,2828,201
1085,19445,189
1086,21090,246
1087,20357,198
1088,5894,255
1089,35845,253
1090,41107,229
1091,5229,240
1092,9531,253
1093,36077,258
1094,35039,281
1095,4583,253
1096,9644,267
1097,9066,281
1098,30113,247
1099,7636,259
1100,40465,290
1101,47827,225
1102,14684,327
1103,12147,205
1104,14588,202
1105,11721,301
1106,1298,264
1107,29561,234
1108,7143,223
1109,6320,279
1110,30028,222
1111,39571,290
1112,30342,201
1113,2464,245
1114,10417,221
1115,1279,228
1116,27675,238
1117,7274,207
1118,11026,240
1119,8972,253
1120,21475,241
1121,40777,230
1122,47748,213
1123,38868,236
1124,20712,297
1125,16041,210
1126,4294,234
1127,35250,245
1128,23898,286
1129,28389,319
1130,38192,288
1131,29129,253
1132,12606,222
1133,37444,228
1134,48610,296
1135,4499,227
1136,26161,236
1137,13089,238
1138,16464,290
1139,47042,266
1140,22338,201
1141,45031,236
1142,47557,250
1143,49491,209
1144,28449,286
1145,35825,302
1146,32786,226
1147,36812,268
1148,22803,248
1149,34928,211
1150,30688,268
1151,48027,267
1152,30803,217
1153,36784,168
1154,37595,312
1155,4606,259
1156,47366,306
1157,17619,295
1158,26427,223
1159,35151,231
1160,31093,228
1161,43085,308
1162,39845,251
1163,16911,272
1164,34371,258
1165,30008,230
1166,25511,237
1167,8729,218
1168,34635,286
1169,26584,267
1170,11329,278
1171,31979,305
1172,2631,251
1173,32397,208
1174,26615,271
1175,30261,250
1176,31637,264
1177,32699,262
1178,36624,247
1179,33842,232
1180,44564,248
1181,9679,224
1182,27738,196
1183,48873,216
1184,43829,242
1185,5097,185
1186,18442,239
1187,29327,290
1188,19815,250
1189,25805,247
1190,9108,243
1191,14270,249
1192,43076,236
1193,10565,288
1194,15593,242
1195,26133,255
1196,21284,256
1197,25251,265
1198,16182,192
1199,46367,227
1200,15894,308
1201,22239,234
1202,41753,293
1203,16133,252
1204,2142,270
1205,39092,278
1206,19363,311
1207,46919,281
1208,26378,234
1209,39371,259
1210,23467,232
1211,13218,329
1212,42376,226
1213,554,218
1214,19175,263
1215,27508,231
1216,11878,234
1217,42243,234
1218,37395,267
1219,37955,264
1220,32582,275
1221,15553,211
1222,14363,292
1223,43704,228
1224,43645,230
1225,30421,266
1226,32639,265
1227,45468,223
1228,27978,246
1229,9782,222
1230,25263,275
1231,33514,254
1232,10623,252
1233,16471,272
1234,28374,353
1235,23393,271
1236,4084,253
1237,9864,271
1238,1840,242
1239,11931,252
1240,30398,177
1241,41299,256
1242,40970,271
1243,1199,236
1244,41463,241
1245,5461,281
1246,19104,244
1247,8275,187
1248,6614,271
1249,28648,217
1250,15932,252
1251,40715,248
1252,47282,222
1253,17724,277
1254,33318,263
1255,41391,225
1256,31719,254
1257,29069,231
1258,23010,248
1259,30259,285
1260,10241,266
1261,22522,253
1262,36859,264
1263,14444,243
1264,212,249
1265,45669,235
1266,20655,268
1267,38962,261
1268,11808,257
1269,13013,321
1270,5906,279
1271,37294,266
1272,33277,258
1273,40231,290
1274,24425,246
1275,31301,294
1276,45284,242
1277,19191,246
1278,26503,206
1279,14904,268
1280,5881,245
1281,1790,248
1282,9313,239
1283,32602,249
1284,26886,266
1285,25641,237
1286,9023,283
1287,13645,237
1288,45151,262
1289,34269,279
1290,14829,271
1291,38424,236
1292,34709,319
1293,16776,194
1294,36845,297
1295,18554,277
1296,12149,315
1297,28063,247
1298,10457,274
1299,28392,216
1300,167,288
1301,35579,306
1302,4450,234
1303,31872,260
1304,43733,228
1305,47768,277
1306,33378,255
1307,17144,246
1308,34109,192
1309,10164,235
1310,23882,246
1311,32984,220
1312,17191,262
1313,17939,222
1314,23631,232
1315,19716,192
1316,27015,262
1317,11670,240
1318,42864,255
1319,33741,272
1320,35641,250
1321,36151,275
1322,12677,236
1323,14250,254
1324,21849,211
1325,45126,237
1326,15435,246
1327,5921,207
1328,8311,287
1329,18997,186
1330,18218,243
1331,16328,238
1332,44151,260
1333,20143,238
1334,5523,234
1335,10801,264
1336,189,223
1337,35590,176
1338,25777,222
1339,29801,232
1340,25933,302
1341,20490,272
1342,7473,255
1343,6964,267
1344,19352,233
1345,2055,290
1346,9075,225
1347,30528,242
1348,45216,254
1349,8575,236
1350,21296,285
1351,34967,294
1352,25901,248
1353,20286,228
1354,10459,236
1355,33062,254
1356,19861,350
1357,49504,220
1358,9109,246
1359,40951,242
1360,18347,243
1361,40148,255
1362,23119,271
1363,43378,280
1364,31896,314
1365,36723,235
1366,45544,251
1367,40114,248
1368,25175,305
1369,37373,235
1370,10109,220
1371,19814,245
1372,40271,302
1373,45651,253
1374,48158,265
1375,47889,269
1376,37575,285
1377,3573,225
1378,31384,278
1379,35022,148
1380,43687,265
1381,21650,258
1382,44114,206
1383,29280,291
1384,33680,250
1385,46680,232
1386,7860,223
1387,46539,238
1388,10011,245
1389,14891,280
1390,42109,282
1391,45282,260
1392,22235,269
1393,8534,206
1394,35714,294
1395,30460,251
1396,25784,242
1397,45675,240
1398,14273,245
1399,13977,244
1400,40335,284
1401,6442,236
1402,39609,284
1403,16074,227
1404,40606,237
1405,21426,249
1406,25767,263
1407,39152,233
1408,19480,282
1409,33097,262
1410,32172,294
1411,10622,259
1412,27232,273
1413,24132,192
1414,33132,181
1415,45360,281
1416,26013,264
1417,27579,269
1418,8317,243
1419,44534,281
1420,26042,288
1421,44404,215
1422,36094,257
1423,47048,221
1424,15574,255
1425,33673,204
1426,41048,283
1427,34155,254
1428,7081,278
1429,49159,210
1430,48510,224
1431,24686,262
1432,46636,229
1433,6873,265
1434,42149,253
1435,31613,250
1436,32719,268
1437,10021,288
1438,19515,268
1439,31717,242
1440,4236,234
1441,32232,288
1442,4218,241
1443,40737,181
1444,6356,269
1445,30439,260
1446,46741,282
1447,16495,237
1448,8420,262
1449,40536,272
1450,24281,239
1451,21972,240
1452,40122,298
1453,9584,331
1454,2624,261
1455,37703,205
1456,18168,190
1457,33830,239
1458,916,225
1459,47518,263
1460,17984,215
1461,39377,230
1462,16524,215
1463,46617,247
1464,25764,243
1465,46531,247
1466,25534,310
1467,22776,271
1468,45432,328
1469,15766,222
1470,26922,241
1471,21488,269
1472,34843,262
1473,6309,268
1474,17083,258
1475,47843,281
1476,49276,261
1477,27882,256
1478,2203,217
1479,19201,189
1480,43489,252
1481,18656,267
1482,28626,260
1483,46440,242
1484,30043,259
1485,41758,181
1486,6220,221
1487,35697,275
1488,3050,224
1489,13854,214
1490,27950,262
1491,47258,261
1492,21704,246
1493,49609,236
1494,31753,249
1495,15385,258
1496,31225,192
1497,11861,239
1498,16989,251
1499,13527,281
1500,45231,190
1501,19598,231
1502,11197,272
1503,16618,225
1504,41511,295
1505,36059,282
1506,9784,288
1507,37683,224
1508,23672,264
1509,31726,255
1510,5750,290
1511,7490,250
1512,20554,271
1513,36617,271
1514,15683,186
1515,20896,275
1516,42508,207
1517,21498,262
1518,46867,229
1519,44180,250
1520,6496,244
1521,41948,257
1522,26456,204
1523,29850,249
1524,5434,273
1525,17742,201
1526,20668,211
1527,5027,238
1528,37403,273
1529,37779,242
1530,40055,279
1531,34888,268
1532,20808,244
1533,26757,226
1534,34842,229
1535,34377,303
1536,8261,267
1537,23995,242
1538,13731,267
1539,6553,164
1540,47551,249
1541,35724,258
1542,12401,216
1543,32206,292
1544,44217,261
1545,15155,252
1546,42356,279
1547,1276,249
1548,34774,218
1549,18204,282
1550,14770,219
1551,20387,266
1552,49296,200
1553,45319,258
1554,37721,301
1555,14515,154
1556,37142,285
1557,34426,267
1558,37819,194
1559,1650,244
1560,1923,241
1561,47998,256
1562,19510,164
1563,39490,234
1564,9366,270
1565,11824,264
1566,4688,228
1567,39113,251
1568,21065,261
1569,27288,245
1570,30820,259
1571,839,245
1572,45252,239
1573,42636,231
1574,31598,191
1575,13312,237
1576,44771,266
1577,14323,311
1578,36427,215
1579,49594,259
1580,20004,245
1581,39448,322
1582,940,250
1583,9932,221
1584,41896,221
1585,11571,245
1586,40480,234
1587,26422,228
1588,39988,283
1589,49024,261
1590,40202,291
1591,39899,239
1592,9606,255
1593,16238,219
1594,19954,242
1595,27465,246
1596,7467,238
1597,40411,178
1598,21418,247
1599,36856,194
1600,33220,220
1601,25606,233
1602,8245,253
1603,14129,305
1604,24893,240
1605,14139,238
1606,30116,264
1607,11190,264
1608,1862,220
1609,29369,276
1610,41134,272
1611,25310,263
1612,41356,287
1613,6842,237
1614,9072,226
1615,38642,285
1616,42912,234
1617,12352,199
1618,22276,215
1619,7374,267
1620,4498,215
1621,40699,281
1622,3667,240
1623,11834,252
1624,49439,220
1625,5709,235
1626,26635,243
1627,22585,245
1628,37845,262
1629,35956,236
1630,41130,245
1631,49181,257
1632,38623,269
1633,38564,247
1634,49264,210
1635,45001,216
1636,1424,293
1637,24129,200
1638,16928,243
1639,30542,271
1640,27020,246
1641,34171,294
1642,19106,268
1643,8339,222
1644,10065,230
1645,31541,208
1646,33347,234
1647,9630,244
1648,5323,244
1649,31893,276
1650,41792,318
1651,19844,252
1652,49436,210
1653,31743,270
1654,22781,255
1655,24987,215
1656,3332,231
1657,13654,249
1658,36027,195
1659,14197,234
1660,43384,294
1661,37419,222
1662,17250,260
1663,49108,249
1664,26202,254
1665,7357,300
1666,236,307
1667,14150,312
1668,31256,258
1669,3499,280
1670,18616,230
1671,46820,309
1672,18030,259
1673,30443,273
1674,242,222
1675,12122,210
1676,2851,178
1677,43991,230
1678,281,263
1679,11170,249
1680,40701,230
1681,18554,283
1682,5009,245
1683,11589,243
1684,46955,210
1685,47162,224
1686,25377,217
1687,1097,234
1688,1065,241
1689,46404,256
1690,34133,253
1691,20496,183
1692,30395,249
1693,7332,275
1694,4784,184
1695,19578,313
1696,1279,285
1697,17517,265
1698,15309,269
1699,30064,231
1700,42000,253
1701,19772,284
1702,520,221
1703,21421,233
1704,36796,245
1705,48105,257
1706,4815,246
1707,726,215
1708,19187,227
1709,10507,257
1710,42146,286
1711,10448,252
1712,37694,244
1713,24885,190
1714,6902,223
1715,14877,265
1716,622,243
1717,16824,200
1718,39871,214
1719,47527,264
1720,45919,250
1721,20552,258
1722,16455,266
1723,40011,301
1724,16537,231
1725,7550,210
1726,21736,270
1727,8515,252
1728,49399,231
1729,11649,277
1730,21751,203
1731,48732,194
1732,45953,276
1733,26681,235
1734,5079,246
1735,23296,239
1736,49452,299
1737,5981,232
1738,40562,253
1739,26266,275
1740,700,251
1741,9138,288
1742,17017,259
1743,37534,306
1744,19674,227
1745,28543,271
1746,1764,311
1747,46287,264
1748,35756,231
1749,3912,240
1750,21710,162
1751,24075,303
1752,38614,240
1753,27975,205
1754,24095,257
1755,18082,228
1756,5182,282
1757,7051,268
1758,2490,261
1759,7481,275
1760,42080,244
1761,18874,250
1762,47612,206
1763,33242,195
1764,24896,355
1765,28520,239
1766,664,289
1767,13299,231
1768,23632,247
1769,25682,217
1770,18498,223
1771,35717,273
1772,11557,228
1773,39776,217
1774,45595,303
1775,13759,293
1776,3373,240
1777,35767,212
1778,1957,224
1779,39862,268
1780,25063,281
1781,1294,228
1782,46779,247
1783,19978,243
1784,33869,256
1785,5941,217
1786,11402,291
1787,47883,249
1788,2573,241
1789,3577,302
1790,22852,295
1791,11274,298
1792,37435,272
1793,2311,225
1794,39460,239
1795,27768,244
1796,34936,300
1797,30141,214
1798,6089,234
1799,20747,242
1800,22397,284
1801,36929,213
1802,4458,251
1803,18542,266
1804,21597,251
1805,27758,261
1806,5150,181
1807,34631,227
1808,36384,234
1809,47546,288
1810,45161,204
1811,35231,266
1812,29991,268
1813,29167,234
1814,9910,224
1815,8693,250
1816,9419,202
1817,2958,250
1818,16703,242
1819,28019,297
1820,15197,249
1821,37397,338
1822,6963,265
1823,23644,271
1824,14323,223
1825,24594,275
1826,23552,217
1827,27511,258
1828,32577,261
1829,4302,255
1830,45523,271
1831,9978,248
1832,43735,261
1833,5486,225
1834,16653,300
1835,31772,250
1836,40248,242
1837,7232,208
1838,6420,269
1839,48353,318
1840,35443,214
1841,26833,272
1842,41390,282
1843,35830,209
1844,38918,225
1845,11945,267
1846,48042,218
1847,30776,220
1848,30630,266
1849,45164,202
1850,19075,285
1851,37823,270
1852,42056,273
1853,45841,256
1854,48559,221
1855,40298,251
1856,49164,201
1857,28450,253
1858,26650,244
1859,1907,262
1860,33406,224
1861,38546,268
1862,5820,310
1863,17698,220
1864,42914,263
1865,26552,252
1866,43257,251
1867,1182,227
1868,44559,230
1869,38206,243
1870,12185,252
1871,32165,267
1872,8704,277
1873,42264,278
1874,26076,199
1875,45703,251
1876,27138,256
